Cliente	Documento	Email	Fone	Cidade	Bairro
Magazine Luiza S/A	47.960.950/0001-21	faturastelecom@magazineluiza.com.br	1637137937	Franca	Centro
Associação dos Pequenos Prod. Rurais P.A Morro Alto I,II,III	02.874.302/0001-14	cooperativaibiabiocoop@gmail.com	3499515444	Ibiá	Centro
Café Agrícola Ltda	12.498.527/0001-77	cafeagricola@hotmail.com	3436714293	Ibiá	Zona Rural
Escola Municipal Santa Barbara	07.504.456/0001-38	teste@teste.com.br	3499216563	Ibiá	Centro
Nova Banda Larga Telecomunicação Ltda.	26.410.925/0001-02	novatelecomibia@gmail.com	3436311981	Ibiá	Santa Cruz
OIW INDUSTRIA ELETRONICA S.A	07.212.549/0002-70	Sem EMAIL	00000000000	Ilhéus	Iguape
MPT FIOS E CABOS ESPECIAIS S.A.	74.531.997/0001-42	Sem EMAIL	1939369383	Indaiatuba	Distrito Industrial Domingos Giomi
Gmaes Tecnologia Ltda Me	10.586.483/0001-01	financeiro@grupogmaes.com	4732685344	Itajaí	Centro
Cablena do Brasil LTDA.	10.822.045/0001-03	Sem EMAIL	1121759272	Itupeva	São Roque das Chaves
Geosedna Perfurações Especiais S/A SS	01.704.488/0001-09	geosedna@geosedna.com.br	3136819433	Lagoa Santa	Distrito Industrial
Associação de Pais e Amigos dos Excepcionais (APAE) MT	02.498.895/0001-61	antonelly_silvas@hotmail.com	3400000000	Matutina	Centro
Associação de Pais e Amigos dos Excepcionais (APAE) MT	02.498.895/0001-61	antonelly_silvas@hotmail.com	3436741120	Matutina	Centro
Auto Posto Estrela Matutina	03.814.946/0001-80	teste@teste.com.br	34000000000	Matutina	Centro
C E N Materiais de Construção	06.748.914/0001-11	construnevesmv@hotmail.com	3436741175	Matutina	Centro
C E N Materiais de Construção MT	06.748.914/0001-11	construnevemv@hotmail.com	3436741175	Matutina	Centro
Caixa Escolar Vera Cruz	19.464.114/0001-10	escola.118737@educacao.mg.gov.br	3436741356	Matutina	Centro
Caixa Escolar Vera Cruz	19.464.114/0001-10	escola.118737@educacao.mg.gov.br	3400000000	Matutina	Centro
Camara Municipal de Matutina	26.035.600/0001-89	camaramatutina@gmail.com	3436741350	Matutina	Centro
Camara Municipal de Matutina MT	26.035.600/0001-89	daiane@mttecnologia.com.br	3400000000	Matutina	Centro
Casa Tania Ltda Me	18.508.499/0001-08	casa.tania@hotmail.com	3436741150	Matutina	Centro
Casa Tania Ltda Me MT	18.508.499/0001-08	casa.tania@hotmail.com	3400000000	Matutina	Centro
Center Hotel MT	07.160.944/0001-75	antonelly_silvas@hotmail.com	3436741883	Matutina	Centro
Center Hotel MT	07.160.944/0001-75	antonelly_silvas@hotmail.com	3400000000	Matutina	Centro
Cooperativa de Crédito de Livre Admissão da Região de Tiros e Matutina Ltda	42.880.617/0002-70	stella.azevedo@sicoobcreditiros.com.br	3438531155	Matutina	Centro
Drogaria Biopharma Rede Entrefarma MT	19.583.900/0001-37	teste@teste.com.br	3400000000	Matutina	Centro
Drogaria Santos e Rodrigues	42.836.361/0001-12	drogariasantoserodrigues@hotmail.com	34367417170	Matutina	Centro
Drogaria Santos e Rodrigues MT	42.836.361/0001-12	adm.mtinformatica@gmail.com	00000000000	Matutina	Centro
Eugenio Cesar de Oliveira  MT	23.911.662/0001-19	teste@teste.com.br	3400000000	Matutina	Centro
FVS MINERACAO LTDA	08.282.454/0002-95	Sem EMAIL	38997339630	Matutina	Madre Paulina
Instituto de Medicina e Diagnostico Mauricio Rios LTDA ME	08.214.479/0018-19	financeiro@labcarloschagas.com.br	34988481763	Matutina	Centro
Instituto de Medicina e Diagnostico Mauricio Rios LTDA ME MT	08.214.479/0018-19	financeiro@labcarloschagas.com.br	34988481763	Matutina	Centro
JF Auto Peças MT	10.643.350/0001-20	jfautopecasmatutina@hotmail.com	3436741985	Matutina	Centro
JF Auto Peças.MT	10.643.350/0001-20	antonelly_silvas@hotmail.com	3400000000	Matutina	Centro
Jaime Lopes - Mercearia Leticia	65.127.300/0001-81	jaimelopesme@hotmail.com	3436741333	Matutina	Centro
Jaime Lopes - Mercearia Leticia  MT	65.127.300/0001-81	teste@teste.com.br	3400000000	Matutina	Centro
Laticinios Abaete LTDA AB	00.554.750/0001-05	abaete.ltda@hotmail.com	3488602060	Matutina	Abaeté de Baixo
Laticinios Nutrileite Ind. e Com. LTDA MT	71.182.430/0001-10	laticiniosnutrileite@yahoo.com.br	3436741155	Matutina	Centro
Londe E Silva Empreendimentos LTDA	05.545.719/0001-21	joseclonde@ig.com.br	3436741180	Matutina	Centro
Londe E Silva Empreendimentos LTDA MT	05.545.719/0001-21	joseclonde@ig.com.br	3436741180	Matutina	Centro
MDPM-Paróquia Nossa Senhora da Abadia	17.832.866/0009-19	adm.mtinformatica@gmail.com	3436741271	Matutina	Centro
MDPN-Paroquia Nossa Senhora Da Abadia	17.832.866/0009-19	paroquia.abadiamatutina@outlook.com	3436741271	Matutina	Centro
Martins Industria e Comercio	64.348.840/0001-22	martinsindcomercio@gmail.com	3436741530	Matutina	Centro
Martins Industria e Comercio MT	64.348.840/0001-22	teste@teste.com.br	3400000000	Matutina	Centro
Matutina Comercio de Produtos Ag Ltda	08.060.812/0001-34	antonelly_silvas@hotmail.com	34000000000	Matutina	Centro
Mercado Oliveira	24.042.971/0001-62	teste@teste.com.br	3488062019	Matutina	Centro
Mercado Oliveira MT	24.042.971/0001-62	teste@teste.com.br	3488062019	Matutina	Centro
Mercado Ribeiro	20.001.625/0001-85	daniel.mtinformatica@gmail.com	3488079742	Matutina	Centro
Mercado Ribeiro MT	20.001.625/0001-85	teste@teste.com.br	3488079742	Matutina	Centro
Mini Mercado Ponto Forte Limitada ME	13.134.585/0001-84	minimercado.forte@hotmail.com	3436741424	Matutina	Centro
Mini Mercado Ponto Forte Limitada ME MT	13.134.585/0001-84	teste@teste.com.br	3400000000	Matutina	Centro
Papelaria Matutina LTDA	06.310.390/0001-82	teste@teste.com.br	34000000000	Matutina	Centro
Posto Estrela Matutina(auto posto rodrigues e cunha ltda)MT	03.814.946/0001-80	antonelly_silvas@hotmail.com	3488830418	Matutina	Centro
Prefeitura Municipal De Matutina MT	18.602.102/0001-42	orivansandro@hotmail.com	3436741220	Matutina	Centro
Prefeitura Municipal De Matutina MT	18.602.102/0001-42	orivansandro@hotmail.com	3400000000	Matutina	Centro
Prefeitura Municipal de Matutina	18.602.102/0001-42	orivansandro@hotmail.com	3436741220	Matutina	Centro
Prefeitura Municipal de Matutina -Setor Saude	18.602.102/0001-42	teste@teste.com.br	34000000000	Matutina	Centro
Rações Matutina Ltda MT	07.615.477/0001-20	matutinaracoes@hotmail.com	3436741477	Matutina	Centro
Rações Matutina Ltda MT	07.615.477/0001-20	matutinaracoes@hotmail.com	3400000000	Matutina	Centro
SG LAC Industria de Laticinios LTDA	28.089.240/0001-23	sglaclaticinios@hotmail.com	34998308159	Matutina	Centro
Sicoob Creditiros MT	42.880.617/0002-70	teste@teste.com.br	3436741531	Matutina	Centro
Sindicato Rural	19.050.129/0001-32	antonelly_silvas@hotmail.com	3436741313	Matutina	Centro
Sindicato Rural.MT	19.050.129/0001-32	antonelly_silvas@hotmail.com	3400000000	Matutina	Centro
Stock Car Centro Automotivo Ltda-ME  MT	18.782.467/0001-04	teste@teste.com.br	3436741731	Matutina	Centro
Top Invest Mineração - Eirelli EPP (Regis Padua de Assis)	13.770.614/0001-02	regisrpa7@gmail.com	34998316722	Matutina	Centro
Top Invest Mineração - Eirelli EPP (Regis Padua de Assis)	13.770.614/0001-02	boletojbs@gmail.com	34998316722	Matutina	Abaeté de Baixo
Verde Fertilizantes.MT	08.000.607/0001-83	edson.santos@verdefertilizantes.com.br	3436741691	Matutina	Centro
Pavidez Engenharia Ltda.	01.744.153/0001-06	gilmar@pavidez.com.br	35999379394	Muzambinho	Jardim Altamira
N.S. Serviços Eireli ME	26.208.185/0001-18	boletozema@gmail.com	35998326988	Passos	Canjeranus
N.S. Serviços Eireli ME	26.208.185/0001-18	financeiro@ns.net.br	3535313131	Passos	Canjeranus
Teranet Comunicação Multimidia Ltda SG	10.286.807/0001-96	suporte@teranettelecom.com.br	3400000000	Patos de Minas	Centro
Agropecuária Alimentar Ltda	04.737.717/0001-71	layza@okuyama.com.br	3436716546	Rio Paranaíba	Zona Rural
Andre Honorio dos Reis RP ( Empresa )	15.556.820/0001-31	ahr21112@gmail.com	34992177966	Rio Paranaíba	Centro
André Aparecido  Alves - ME	08.722.077/0001-87	financeiro@lojasuni.com.br	34999363712	Rio Paranaíba	Novo Rio
Beneficiadora Hortiland Ltda GF	11.566.394/0001-66	teste@teste.com.br	3436716546	Rio Paranaíba	Zona Rural
Camara Municipal de Rio Paranaiba RP	23.089.642/0001-04	setordecomprascmrp@gmail.com	3438558274	Rio Paranaíba	Centro
Cléscio Galvão Advocacia Sociedade de Advogados	21.144.120/0001-32	clesciogalvao@clesciogalvao.adv.br	3499791369	Rio Paranaíba	Centro
DLJW Armazens Gerais LTDA RP	29.773.730/0001-07	agricafe@hotmail.com	34988118173	Rio Paranaíba	Jardim das Flores
Domus Alojamentos ltda RP	15.514.282/0001-12	keile@domusalojamentos.com.br	34998398428	Rio Paranaíba	Novo Rio
EBC Ltda(Laticinio Rezende)	12.226.811/0001-94	brennolr@yahoo.com.br	3496610051	Rio Paranaíba	Zona Rural
Elisaudio Resende - ME RP	03.392.611/0001-10	brennolr@yahoo.com.br	34996610051	Rio Paranaíba	Zona Rural
Forte Concretos e Argamassas Ltda	13.562.777/0001-91	tatianapinheiro4@hotmail.com	3491431161	Rio Paranaíba	Guarda dos Ferreiros
Fundação José Resende Vargas de Rádio RP	20.726.071/0001-83	contato@paranaibamaximus.com.br	3438559100	Rio Paranaíba	Centro
G8 Agricola	04.949.198/0001-05	g8agricola@hotmail.com	3499224573	Rio Paranaíba	Zona Rural
Hotel e Pousada Brasileiro LTDA RP	18.771.719/0001-91	pousadabrasileiro@hotmail.com	34988072747	Rio Paranaíba	Zona Rural
Hotel e Pousada Brasileiro Ltda	18.771.719/0001-91	pousadabrasileiro@hotmail.com	3488379613	Rio Paranaíba	Zona Rural
Isaias de Souza Santos RP ( empresa )	29.368.223/0001-98	progeorp@gmail.com	34999619963	Rio Paranaíba	Centro
Laticinios Abaete LTDA	00.554.750/0001-05	abaete.ltda@hotmail.com	3488602060	Rio Paranaíba	Distrito de Abaeté de Baixo
Lucimar Eliane de Carvalho Sociedade individual de advocacia RP	27.549.352/0001-57	l.lucimaradvocaciaprevidenciaria@yahoo.com.br	34999714911	Rio Paranaíba	Centro
MRC Locação de Veiculos Eireli ME	27.094.175/0001-61	comercialpaizao@gmail.com	34998258065	Rio Paranaíba	Zona Rural
Madeireira Nativa RP	03.215.360/0001-07	madeireiranativa01@hotmail.com	34999784706	Rio Paranaíba	Centro
Marlene Gomes Dias Ribeiro ME RP	15.285.883/0001-09	moises.niquini@gmail.com	3499044097	Rio Paranaíba	Centro
Mauricio Luiz Rocha RP	22.044.794/0001-28	teste@teste.com	3498939098	Rio Paranaíba	Comunidade de Santa Luiza
Morena Mel Modas RP	19.742.871/0001-09	rogerimelo@hotmail.com	3488574759	Rio Paranaíba	Centro
Morena Mell Modas RP	19.742.871/0001-09	rogerimelo@hotmail.com	3488574759	Rio Paranaíba	Centro
Placas Alto Paranaiba LTDA RP	11.064.905/0002-22	Pplacap@hotmail.com	34999299999	Rio Paranaíba	Centro
Prefeitura Municipal de Rio Paranaiba RP	18.602.045/0001-00	controleinternorp@outlook.com	3438551224	Rio Paranaíba	Novo Rio
Registro de Titulos e Documentos Registro Civil das Pessoas Juridicas RP	14.782.448/0001-19	cartoriotdpjriopar@yahoo.com.br	3438552018	Rio Paranaíba	Centro
Rio Paranaíba Cartório Registro Imóveis RP	20.725.982/0001-96	imoveis.rioparanaiba@yahoo.com.br	34900000000	Rio Paranaíba	Universitário
Rodrigo Resende de Babos ME RP	22.169.760/0001-60	rodrigoresende.rpa@gmail.com	3493011915	Rio Paranaíba	Novo Rio
Supermercado São Francisco Ltda RP	11.188.740/0001-10	financeiro01@supersaofrancisco.com.br	3438558384	Rio Paranaíba	Novo Rio
Systemcomp Informatica e Telecomunicação Eireli RP	32.583.069/0001-81	systemc.nty@gmail.com	34999611651	Rio Paranaíba	Jardim Primavera
Top Frios Alimentos e Embalagens Eireli RP	32.253.488/0001-55	cidaelisaudio@gmail.com	34987007597	Rio Paranaíba	Novo Rio
Transagro SA	19.767.631/0001-69	teste@teste.com.br	34000000000	Rio Paranaíba	Zona Rural
Yukawa e Yukawa Comercio e Representaçao de Insumos Agropecuarios Ltda	10.584.945/0001-51	yukawa_bacsol@hotmail.com	34999218723	Rio Paranaíba	Zona Rural
São Gotardo Transmissora de Energia S/A	15.867.360/0001-62	teste@teste.com.br	34000000000	Rio de Janeiro	Centro
Think Technology Ind e Com de Produtos de Telecomunicações	03.916.592/0001-84	Sem EMAIL	3534730762	Santa Rita do Sapucaí	Jardim das Palmeiras
Alcimar Vieira da Silva SS	07.773.934/0001-05	teste@teste.com	34999048001	Serra do Salitre	Flores
Auto Posto Central SS	05.971.755/0001-57	thiagocastrovieira@hotmail.com	3438331242	Serra do Salitre	Centro
Castelato Pedras e Revestimentos SS	32.390.238/0001-67	castelatopedras@gmail.com	34999037220	Serra do Salitre	Santo Antônio
Castelo Night Pub (serasa)	18.504.976/0001-67	daviassisconrrado@gmail.com	34984066025	Serra do Salitre	Centro
Comercial Serra Materiais Para Contrução Ltda SS	09.270.876/0001-22	constru.serra.salitre@gmail.com	3438331425	Serra do Salitre	Nações
Construtora Regional Eireli ME SS	07.269.971/0001-80	construtoraregionalltda@outlook.com	34998366763	Serra do Salitre	Flores
Eletrica PHV Ltda SS	23.368.014/0001-68	eletricaphv@hotmail.com	34999142030	Serra do Salitre	Centro
FD Telecom Ltda ME SS	03.082.314/0001-79	andrea@fdtelecom.com.br	19992016621	Serra do Salitre	Centro
Franciele de Paula Martins ME SS	29.090.815/0001-90	mmalojamentos@hotmail.com	34999855332	Serra do Salitre	Nações
Funeraria Patense SS	15.806.439/0001-83	teste@teste.com	3438331175	Serra do Salitre	Centro
Goldnet Permutas	10.822.045/0001-03	sgtelefonia@gmail.com	3436712878	Serra do Salitre	Centro
Hotel Ouro da Serra Ltda SS	33.602.082/0001-01	gmsupermercado@yahoo.com.br	34999831254	Serra do Salitre	Santo Antônio
JL Celulares  Ltda - Me SS	14.094.630/0001-87	solucaoptc3@yahoo.com.br	34999287878	Serra do Salitre	Centro
Nativa Agronegocios e Representações LTDA SS	03.856.216/0010-32	amanda.castro@nativagro.com.br	34998059587	Serra do Salitre	Parque Santo Antônio
Sudeste Corretora de Seguros Ltda SS	26.260.216/0001-80	caio@sudesteseguros.com.br	34987196233	Serra do Salitre	Centro
Super J LTDA - ME SS	41.823.105/0001-28	supermercadosuperj@gmail.com	34383311445	Serra do Salitre	Flores
Viação Cidade Paraíso Ltda EPP SS	01.678.426/0003-23	informatica@grupophd.com	61981415771	Serra do Salitre	Flores
3A Transportes Ltda - ME	22.489.519/0001-18	transportesaleixo@outlook.com	34999210860	São Gotardo	Jardim das Flores
ARLS Deus, Caminho da Sabedoria Nº195	01.509.626/0001-90	pauloalvesmoreira@hotmail.com	34988221659	São Gotardo	Mansões do Lago
AUQMIA Veterinária LTDA	09.645.620/0001-52	isabella.rabello28@gmail.com	34988219603	São Gotardo	Centro
Academia Alan Panda de Jiu-Jitsu e Defesa Pessoal	19.256.579/0001-86	alanbuhler35@yahoo.com	34988279904	São Gotardo	Nossa Senhora de Fátima
Academia Katia Zanetti	06.038.757/0001-50	tanialui@hotmail.com	3436712139	São Gotardo	Centro
Agemiro Alves Abrantes Filho ME	29.672.071/0001-12	jhonathansnts@hotmail.com	34998221225	São Gotardo	Jardim das Flores
Agrobeke	12.266.939/0001-81	agrobeke@hotmail.com	00000000000	São Gotardo	Guarda dos Ferreiros
Agrobeke	12.266.939/0001-81	agrobeke@hotmail.com	34999587575	São Gotardo	Nossa Senhora da Aparecida
Agrocerrado Produtos Agrícolas e Assistência Técnica LTDA	71.353.015/0013-15	agrocerradosg@agrocerrado.com.br	3436712474	São Gotardo	Zona Rural
Agropecuaria São Gotardo LTDA SG	18.460.956/0001-31	agropesg@agropesg.com.br	3436711704	São Gotardo	Centro
Agropecuária Funchal LTDA SG	19.589.229/0015-37	nfe@grupofunchal.com.br	3436161150	São Gotardo	Zona Rural
Agrosoma Comercio de Defensivo e Sementes Ltda	24.090.740/0001-24	agrosomasg@gmail.com	34999069286	São Gotardo	Guarda dos Ferreiros
Agrosoma Comercio de Defensivo e Sementes Ltda. GF	24.090.740/0001-24	agrosomasg@gmail.com	34999069286	São Gotardo	Zona Rural
Aline Gizele da Silva SG	24.923.717/0001-73	joaopedro2016734@gmail.com	34988552163	São Gotardo	Nossa Senhora de Fátima
Alinha Patos LTDA SG	02.174.377/0001-92	alinhautosg@hotmail.com	34991943039	São Gotardo	Santa Terezinha
Almeida Goularte Sociedade de Advogados	23.655.726/0001-68	felipe@almeidagoularte.com.br	34992334356	São Gotardo	Centro
Anderson Cesar Cyrino - ME	24.491.724/0001-43	marciasonomura@hotmail.com	34999848844	São Gotardo	Santa Terezinha
Anderson Cesar Cyrino - ME (NÃO DESBLOQUEAR, BOLETOS SG E GF)	24.491.724/0001-43	cyrinotransportes@hotmail.com	34999848844	São Gotardo	Agrovila
Andrea Oliveira Sociedade Individual de Advocacia	19.010.166/0001-17	andrea@andreaoliveira.adv.br	3438311415	São Gotardo	São Vicente
André Honorio dos Reis ME	15.556.820/0001-31	hr21112@gmail.com	34992177966	São Gotardo	Centro
Anselmo Barbosa de Paula ME	13.268.407/0001-46	pousadapordosol_sg@hotmail.com	34999890582	São Gotardo	Tancredo Neves
Apetrecho Enxovais e Decoração LTDA.	18.968.151/0001-01	apetrechoenxovais@yahoo.com.br	34999404433	São Gotardo	Centro
Araújo e Guimarães Ltda.	18.208.084/0001-19	fixglass.vidros@outlook.com	34991211253	São Gotardo	Santa Terezinha
Arlindo Auto Peças Ltda - EPP	20.044.459/0001-02	arlindoautopecas2011@hotmail.com	3436711699	São Gotardo	São Vicente
Associação de Apoio aos Produtores Rurais da Região de São Gotardo SG	20.750.725/0001-04	assogotardo@gmail.com	34999841393	São Gotardo	Nossa Senhora de Fátima
Associação de Ação Humanitária de São Gotardo	23.443.908/0001-75	lotus.molinaricosta@gmail.com	34999581066	São Gotardo	Tancredo Neves
Associação de Moradores de Guarda dos Ferreiros	20.750.782/0001-93	asmog_diretoria@hotmail.com	34999044868	São Gotardo	Guarda dos Ferreiros
Associação de Pais e Amigos dos Excepcionais APAE SG	20.045.597/0001-06	apaesaogotardo@gmail.com	3436711082	São Gotardo	São Vicente
Auto Eletrica Pacheco Ltda.	10.416.663/0001-45	autoeletricapacheco@hotmail.com	34999062152	São Gotardo	Zona Rural
Auto Eletrica Paranaiba LTDA - SG	21.306.790/0002-99	aeparanaiba@hotmail.com	34988157020	São Gotardo	Guarda dos Ferreiros
Auto Escola Nossa Senhora de Fátima SG	07.297.622/0001-72	autoescola_nsa.sra.fatima@hotmail.com	3436712463	São Gotardo	Nossa Senhora de Fátima
