[+] 179.189.86.22:10001 Ubiquiti Discovery metadata: {"ips"=>["10.0.0.1", "179.189.86.22"], "macs"=>["80:2a:a8:ec:9:dc", "80:2a:a8:ed:9:dc"], "name"=>"AirGrid M5 HP", "model_short"=>"AG5-HP", "essid"=>"Gold-Detran", "firmware"=>"XW.ar934x.v5.6.2.27929.150716.1149", "model_long"=>"AirGrid M5 HP"}
[+] 179.189.95.121:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.95.121", "192.168.1.1"], "macs"=>["fc:ec:da:5e:d5:f9", "fc:ec:da:5f:d5:f9"], "name"=>"CaseiroShimadaKilombo", "model_short"=>"LB5", "essid"=>"Fazenda_Quilombo", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
[+] 179.189.95.125:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.95.125", "192.168.1.1"], "macs"=>["f0:9f:c2:e0:a9:21", "f0:9f:c2:e1:a9:21"], "name"=>"PowerBeam M5 400", "model_short"=>"P5B-400", "essid"=>"GoldNet-Faz12", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"PowerBeam M5 400"}
[+] 179.189.92.154:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.92.154", "192.168.1.1"], "macs"=>["fc:ec:da:28:66:3e", "fc:ec:da:29:66:3e"], "name"=>"STC Ana Lucia", "model_short"=>"LB5", "essid"=>"Dalmi-Torrado_EloimTI", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
[+] 179.189.92.163:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.92.163", "192.168.1.1"], "macs"=>["fc:ec:da:28:4b:4b", "fc:ec:da:29:4b:4b"], "name"=>"STC Maria Geraldo", "model_short"=>"LB5", "essid"=>"GoldNet-Pimenta", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
[+] 179.189.92.168:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.92.168", "192.168.1.1"], "macs"=>["fc:ec:da:92:5a:e9", "fc:ec:da:93:5a:e9"], "name"=>"STC Ant\xC3\xB4nio Marcos", "model_short"=>"LB5", "essid"=>"Jander01_GoldNet", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
[+] 179.189.95.177:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.95.177", "192.168.1.1"], "macs"=>["fc:ec:da:98:45:e", "fc:ec:da:99:45:e"], "name"=>"patriciavikinho", "model_short"=>"LB5", "essid"=>"Fazenda-Macauba", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
[+] 179.189.92.186:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.92.186", "192.168.1.1"], "macs"=>["f0:9f:c2:b6:74:5c", "f0:9f:c2:b7:74:5c"], "name"=>"Faz Moreira", "model_short"=>"LB5", "essid"=>"Faz Dallas_EloimTI", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
[+] 179.189.92.206:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.92.206", "192.168.1.1"], "macs"=>["80:2a:a8:36:34:28", "80:2a:a8:37:34:28"], "name"=>"EletroZema", "model_short"=>"AG5-HP", "essid"=>"GoldNetP17", "firmware"=>"XW.ar934x.v5.6.5.29033.160515.2108", "model_long"=>"AirGrid M5 HP"}
[+] 179.189.92.217:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.92.217", "192.168.1.1"], "macs"=>["fc:ec:da:9e:26:6d", "fc:ec:da:9f:26:6d"], "name"=>"Gensimar Luiz", "model_short"=>"LB5", "essid"=>"Dalmi-Torrado_EloimTI", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
[+] 179.189.95.242:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.95.242", "192.168.1.1"], "macs"=>["fc:ec:da:92:67:37", "fc:ec:da:93:67:37"], "name"=>"LiteBeam M5", "model_short"=>"LB5", "essid"=>"GoldNetP21", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
